event_id_cnty,manual_label,predicted_class_model,predicted_class_students,notes
CYP517,public services,labor rights,policies & politics,"On 28 September 2020, about 50 members of the Turkish Cypriot electricity union EL-SEN supported by the Union Platform protested at the Teknecik Power Plant [coded to Agios Epiktitos] over the lack of investment in maintenance, the lack of repairs and the imminent failure of the power plant generators."
ITA23103,lgbtq,policies & politics,lgbtq,"On 18 May 2024, a large group of people took part in the pride parade in Parma (Emilia-Romagna) in solidarity with the LBTQ+ community. Demonstrators also demanded inclusion and equal rights for all. Representatives of ANPI, the mayor of Parma (independent) and several councilors and members of the PD, including the Councilor for Equal Opportunities, were present, among others."
ITA7407,labor rights,public services,policies & politics,"On 26 March 2021, food delivery riders rode on their bikes through the streets and later gathered in San Firenze square in Florence (Firenze, Toscana) to demand more rights and dignity for their category and denounce piece-work remuneration contracts offered by food delivery platforms. Protesters were supported by the Nidil CGIL and UIL trade unions. The protest, which saw the participation of municipal officials, was part of a national day of protest called by food delivery riders."
FRA19654,labor rights,lgbtq,policies & politics,"On 19 October 2022, employees of the Sidel company gathered for a picket, as a part of their strike action, organized by UNSA in Lisieux, after their company declared that they would be closing the site in 2023 and they would be dismissed. An MP (Horizons), the Mayor of Lisieux (LR), the President of the Communaute d'agglomeration Lisieux Normandie (PS), a municipal councilor and the workers' lawyers also took part in the gathering."
GBR8516,public services,policies & politics,culture,"On 28 April 2025, at the call of Unison and Unite, campaigners gathered outside the Council House in Dudley (England) to protest against the plan to privatize local leisure centers."
FRA27350,labor rights,environment,lgbtq,"On 1 September 2023, people, including Valdunes employees and CGT affiliates, demonstrated in Trith-Saint-Leger (Hauts-de-France) against possible job cuts."
ITA17129,labor rights,animal welfare,education,"On 28 September 2022, nine former Keller workers climbed onto the rooftop of the Anas headquarters building in Palermo (Palermo, Sicilia), to protest against the conditions of their professional training."
ESP2375,unjust law enforcement,labor rights,women rights,"On 27 October 2020, citizens from Nigeria, predominantly women, gathered in Villabona (Gipuzkoa) to complain about corruption and police violence against protesters in Nigeria. The protest is part of the #EndSARS social movement."
AUT609,labor rights,public services,education,"On 1 May 2021, between 400 to 600 people protested in Salzburg on the occasion of May Day (Labor Day) for affordable housing, a reduction of working hours and a heavier taxation of super-rich individuals. The protest was organized, amongst others, by the KPOE, Fridays for Future, and a student group."
LVA257,public services,policies & politics,public services,"On 30 April 2024, residents of Roja with about 250 cars drove through the Roja-Valdemarpilis road (coded to Roja, Talsu) protesting against the bad roads in the central part of the county."
NLD3143,climate,public services,environment,"On 1 June 2024, an unknown number of XR activists organized a protest action in Rotterdam (Zuid-Holland) against cruise ship travels. They argued cruises were more polluting than air travel."
BGR1545,policies & politics,labor rights,policies & politics,"On 14 October 2020, relatives of a man who was murdered protested in Vidin demanding punishment for the culprit."
ITA24210,women rights,animal welfare,policies & politics,"On 15 October 2024, at the call of CGIL, CISL and UIL, people, including women, staged a protest in front of the Sicilian Regional Assembly in Palermo (Sicilia) to ask for an increase in the gender quota to at least 40%, following the draft of a bill with a minimum gender quota of 20% in municipal councils. The former president of the Chamber (PD), members of the Sicilian Regional Assembly (PD), regional deputies (M5S and FI), as well as city councilors (PD and civic list), took part in the event."
ESP16637,environment,policies & politics,housing,"On 27 March 2024, members of UGT held a protest in front of the City Hall in Granada (Andalucia) denouncing the abandonment of the gardens and green areas of the city and the local low budgetary allocation that has not been updated since 2016."
HRV934,policies & politics,labor rights,policies & politics,"On 2 July 2023, citizens and Homeland Movement representatives protested in Varazdin against the non-implementation of the law aimed at defending properties from hail."
BIH778,policies & politics,labor rights,policies & politics,"On 10 January 2022, residents of Tuzla gathered on the main square to protest against the divisions in the country caused by the ongoing political crisis in the country."
FRA21944,policies & politics,lgbtq,policies & politics,"On 4 February 2023, between 700 people (according to the police) and 2,500 people (according to the organizers) gathered for a rally organized by Eric Ciotti (LR) on the forecourt of the Palais des Congres in Nice, against the Mayor of Nice's decision to demolish the Acropolis Palace. Also present were Senator Henri Leroy (LR), the former mayor of Nice Jacques Peyrat, the mayor of Tourrette-Levens Bertrand Gasiglia, the departmental councilors Anne Sattonnet, Pierrette Alberici, Bernard Asso, the municipal councilors of opposition Bernard Chaix, Gaelle Frontoni (LR) and Jean Moucheboeuf (REC)."
DEU7243,housing,public services,housing,"On 19 June 2021, around 50 people protested in Gottingen at the call of the DGB against rising rents and for more affordable housing."
MLT6,policies & politics,lgbtq,policies & politics,"On 29 January 2020, about 400 people gathered in front of the Parliament building in Valletta at the call of civil society group Repubblika to protest against nepotism and corruption within the government. The protest, which also saw the participation of anti-corruption journalists and Occupy Justice activists, additionally demanded justice on the death of a famous Maltese investigative journalist occurred in October 2017."
SWE3096,women rights,unjust law enforcement,women rights,"On 1 October 2022, demonstrators, mostly members of the Swedish-Iranian community, gathered in Sundsvall to show support and solidarity with Iranian protesters and to denounce the death of a 22-year-old Kurdish woman in police custody in Iran."
ITA12360,labor rights,public services,labor rights,"On 8 November 2021, Saga Coffee workers continued to block the entrance of their company in Gaggio Montano (Bologna, Emilia-Romagna). They demonstrated against the future closure of the company and the subsequent layoffs."
GRC4319,policies & politics,public services,policies & politics,"On 14 May 2023, about 2.000 protesters - including citizens of Serres, members of civil society groups, associations and members of political parties of the opposition - organized by the relatives and friends of the victims of the Tempe rail disaster, who had founded the Association of Relatives of Tempe Victims (Tempe 2023), rallied in Serres, carrying a banner demanding justice, and marched to the political office of the ND MP candidate and former minister of transport, who had resigned following the Tempe disaster."
FRA4028,labor rights,public services,labor rights,"On 6 November 2020, delivery employees of Uber, including undocumented employees, demonstrated in Bordeaux, at the call of the CGT union. They demanded a better recognition and the regularization of undocumented workers."
FRA27036,unjust law enforcement,lgbtq,unjust law enforcement,"On 1 July 2023, overnight, rioters took to the streets and set on fire garbage containers in Orthez (Nouvelle-Aquitaine). The event was part of a national wave of riots and demonstrations denouncing police violence and demanding justice in the wake of the shooting and subsequent death of 17-year-old Nahel M. by a police officer in Nanterre on 27 June 2023."
ITA10339,environment,lgbtq,public services,"On 24 July 2021, during the night, around 150 No TAV Movement activists, among them members of the Askatasuna self-managed social center, gathered outside the Chiomonte construction site (Torino, Piemonte) to demonstrate against the Turin-Lyon highspeed railway. They tried to remove the barbwire from the site's fencing and threw stones, firecrackers and fireworks. The police threw tear gas and used water cannons in response, trying to break up the demonstrators. No one was reported injured."
SWE6393,women rights,lgbtq,policies & politics,"On 21 November 2024, people staged a torchlight procession in Finspang, Ostergotland, to oppose and draw attention to violence in close relationships."
GBR4877,policies & politics,policies & politics,pandemic,"On 30 April 2022, loyalists gathered in Bangor to protest against the Northern Ireland protocol. Loyalist activist Jamie Bryson was present and addressed the crowd."
SRB4660,unjust law enforcement,labor rights,pandemic,"On 21 March 2025, citizens, PSG, and civil society representatives gathered in front of the Higher Court in Novi Sad, demanding justice for PSG and 'STAV' activists, arrested under a presumption of 'organizing violence in the Assembly building' during the Belgrade protests on 15 March."
FRA15457,labor rights,animal welfare,labor rights,"On 17 February 2022, at the call of the CGT, a dozen social security workers demonstrated in Saint-Nazaire to call for an increase of their salaries."
SRB699,policies & politics,lgbtq,policies & politics,"On 16 March 2019, in Kragujevac, Serbia, citizens held a '1 of 5 Million' protest against the regime of Aleksandar Vucic. This protest was a part of a series of protests happening throughout the country since November 2018."
FIN483,environment,culture,farmers,"On 11 November 2021, a protest against mining took place in Savonlinna."
ESP9601,culture,lgbtq,policies & politics,"On 20 March 2022, more than 100 residents and members of 'In defense of the Virgen de Casbas property' citizens' platform staged a protest in Ayerbe (Huesca, Aragon), to claim municipal ownership of the sanctuary of Casbas, a.k.a the 'Sistine Chapel' of Alto Aragon. No further information was reported."
ITA20210,health care,lgbtq,health care,"On 9 June 2023, at the call of the association 'Mental Health Forum', a large group of people staged a picket in front of the Mental Health Center in Trieste (Friuli-Venezia Giulia, Trieste) to protest against the reduction of mental health services in the area."
ESP6592,women rights,animal welfare,women rights,"On 11 August 2021, around 100 citizens protested in Urnieta, demanding justice for a 28 years old man murdered three years ago by the former partner of a woman with whom the victim was talking in a bar. Protesters demanded that he be considered a victim of gender violence."
MDA1890,policies & politics,policies & politics,health care,"On 28 October 2024, people protested near the buildings of the police inspectorate and the prosecutor's office in Comrat, demanding the release of a doctor detained for assisting elderly voters at a nursing home in Comrat. The Moldovan General Police Inspectorate deemed this assistance a violation of the right to secret voting, leading to a criminal case and doctor's detention for 72 hours."
DEU3038,policies & politics,palestine-israel conflict,policies & politics,"On 1 September 2020, people protested in Karlsruhe under the motto 'Never Again War! Investing in the Future Instead of Weapons!' against the impact of war, violence and fascism 81 years after the beginning of the Second World War. The protest was organised by the DGB."
IRL1405,climate,labor rights,climate,"On 25 May 2024, climate activists from Mothers' Rebellion staged a sit-in protest at the bottom of Grafton Street in Dublin (Dublin) against the plans for the expansion of Dublin Airport that would increase greenhouse gas emissions."
HRV1015,policies & politics,labor rights,policies & politics,"On 28 February 2024, citizens protested in Split following the recent murder case of a local teenager. The teenager was murdered by an individual who should have been behind bars, given his history of criminal activity. The citizens are dissatisfied with the lack of effectiveness of the justice system in Croatia."
MKD965,discrimination,animal welfare,policies & politics,"On 7 June 2023, citizens with disabilities protested in Skopje demanding improved protections for their rights and claiming that the government has not been responsive to their needs."
DEU5580,climate,animal welfare,environment,"On 19 March 2021, around 100 to 300 Fridays for Future activists protested in Wurzburg with the slogan 'No More Empty Promises' for more climate action. The protest was part of a Global Climate Strike."
ITA12921,public services,environment,policies & politics,"On 27 November 2021, people gathered in Verona to demand the reopening of the Golosine public swimming pool."
ITA14577,public services,labor rights,policies & politics,"On 19 February 2022, people gathered in Montale Square in Torino to protest against the increased energy cost also for district heating users. Iren CEO took part in the demonstration."
DEU6818,housing,environment,policies & politics,"Around 19 May 2021 (as reported), activists squatted an empty building in Chemnitz to protest against gentrification."
DEU8143,labor rights,environment,labor rights,"On 20 September 2021, around 200 people, including employees of Ontex and SPD members, protested in Mayen against job cuts."
ESP10596,labor rights,labor rights,policies & politics,"On 10 June 2022, hundreds of Celsa workers mobilized in Santander (Cantabria) in front of the Deutsch Bank headquarters to demand an agreement on which 30,000 jobs depend."
GRC1038,health care,public services,policies & politics,"On 18 October 2019, four members of Rouvikonas splashed red paint at the entrance and caused damage in the political office of the health minister. They also scattered fliers reading 'Keep your hands off public health'. The incident took place during office hours when staff was present. There was one arrest."
GRC1284,unjust law enforcement,policies & politics,unjust law enforcement,"On 7 December 2019, friends and family members of demonstrators, who were arrested on the anniversary of the killing of Alexandros Grigoropoulos during the rioting in Patras, organised two solidarity rallies outside the police station and outside the courthouse."
ITA3806,labor rights,public services,pandemic,"On 1 October 2020, around 38 part-time employees of a contracted company that provides services to the Ikea located in Catania (Catania, Sicilia) staged a protest outside the facility to demand their working hours not to be further cut. Trade unions Filcams Cgil Catania and Uiltucs Catania were involved."
DEU3767,policies & politics,unjust law enforcement,ukraine-russia war,"On 17 October 2020, Azerbaijani and Turkish protesters gathered near Turkish Embassy in Berlin - Mitte (Berlin), for a protest with the slogans 'Stop the Armenian Aggression' and 'Don't Believe the Armenian Lie'."
FRA21264,housing,lgbtq,policies & politics,"On 21 January 2023, around 200 people, including the local mayor (independent), members of a residents' collective, and Har Hitza local elected officials, gathered for a protest in Sare, against housing speculation in the Basque country. Some protesters waved banners with messages written in Basque."
ESP17646,policies & politics,lgbtq,environment,"On 5 July 2024, around 300 people held a protest in Caldes de Malavella (Cataluna) against the presence in the city of the royal family on the occasion of the Princess of Girona awards ceremony. Protesters were carrying mainly Catalan flags and marching under the slogan 'royal family out, long life to our land'."
FRA33054,policies & politics,lgbtq,policies & politics,"On 19 April 2024, around 500 people gathered for a silent march in Romans-sur-Isere (Auvergne-Rhone-Alpes) in memory of Zakaria, a 15-year-old who was killed during a brawl on 9 April. The protesters demanded an end to violence in the neighborhood."
SRB1117,public services,environment,policies & politics,"On 9 July 2019, citizens of Zrenjanin, Serbia, protested over the lack of drinkable water in the city for the last 15 years."
ESP13263,animal welfare,pandemic,farmers,"On 23 April 2023, hundreds of people held a protest in A Coruna (Galicia) to oppose a project to open the world's first octopus farm in Las Palmas de Gran Canaria."
GBR378,climate,animal welfare,public services,"On 25 February 2020, dozens of Extinction Rebellion activists gathered outside of Exeter Airport in Clyst Honiton to protest against the government bailout of airline Flybe."
FRA27508,labor rights,labor rights,policies & politics,"Around 31 August 2023, at the call of SGLCE-CGT, SNJ-CGT, and BF-UFICT-CGT, workers from the Tremblay printing company gathered in front of newspaper L'Union's headquarters in Reims (Grand Est) to protest against L'Union's choice to change printing company."
DEU3448,climate,animal welfare,climate,"On 25 September 2020, Fridays for Future activists protested in Kassel for more climate action as part of a Global Climate Strike."
ESP8226,labor rights,labor rights,public services,"On 12 January 2022, taxi drivers protested in Valencia, demanding to reduce their working hours and increase their fees."
MLT170,policies & politics,public services,policies & politics,"Around 13 June 2022 (as reported), Residenti Beltin (Beltin Residents) group activists gathered in Valletta (South Eastern) to protest against new rules extending the hours when music can be played to 1 am."
FRA889,policies & politics,public services,policies & politics,"On 31 January 2020, in the evening, several hundreds of persons gathered in Le Havre. They protested against the Prime Minister running for mayor of the city."
NLD1282,labor rights,environment,labor rights,"Around 18 October 2021 (as reported), an unknown number of judicial interpreters staged a protest at the court of justice in Leeuwarden to demand a raise in remuneration. Similar actions took place across the country."
HRV122,health care,public services,policies & politics,"On 21 August 2018, 2018 in Zapresici, Croatia several hundred citizens organized a protest motivated by a death case of a young man, presumably caused by inadequate response of health institutions, demanding steps that would prevent such cases in the future."
ITA9733,labor rights,lgbtq,labor rights,"On 22 June 2021, in the evening, Panorama retail workers and trade unionists gathered, with the support of FISASCAT CISL, FILCAMS CGIL and UILTUCS (UIL), outside Latinafiori shopping center in Latina (Latina, Lazio) to protest against the announced closure of their shop and demand guarantees for the workers' future."
ESP11418,labor rights,culture,labor rights,"On 26 September 2022, hoteliers from the Honduran and adjacent areas held a protest in Valencia (Valencia) to call for an end to a layoff plan that would allegedly affect 72 premises and put 120 jobs at risk."
BGR2706,labor rights,labor rights,public services,"On 24 October 2022, taxi drivers protested in Sofia demanding more protections for the industry, including tax rebates and better regulation of illegal taxi drivers."
ITA3088,policies & politics,public services,animal welfare,"On 27 July 2020, nearly a dozen people gathered in the Rossellino area of Potenza to protest against drug dealing and the state of neglect of the area."
FRA32253,labor rights,environment,labor rights,"On 2 April 2024, at the call of CGT, striking STEF employees gathered for a picket line in Saint-Ouen-l'Aumone (Ile-de-France) to demand a pay rise."
DEU1353,women rights,lgbtq,women rights,"On 1 May 2020, around 50 people gathered for a 'women strike' in Jena."
ITA24091,policies & politics,policies & politics,housing,"On 6 October 2024, residents and shop owners staged a demonstration in the Campo di Marte neighborhood in Firenze (Toscana) to protest against the increase in petty crime, robberies, and violence in the area."
IRL1481,labor rights,animal welfare,pandemic,"On 24 July 2024, 15 striking barristers of the Bar of Ireland picketed outside the courthouse in Carlow (Carlow) to protest the level of fees paid to criminal justice practitioners. The event was part of a national industrial action."
